yearmonth,total,man,woman
202001,2038.7464,999.2234,1039.523
202002,2079.426,1017.407,1062.019
202003,2048.913,1003.008,1045.905
202004,2045.3687,999.9917,1045.377
202005,2026.7084,990.7874,1035.921
202006,2039.3346,993.0406,1046.294
202007,2034.5934,991.4124,1043.181
202008,1993.8917,973.1747,1020.717
202009,2002.8114,975.5454,1027.266
202010,1990.4496,971.3246,1019.125
202011,2008.7626,980.5186,1028.244
202012,1977.5908,965.8528,1011.738
202101,1980.6885,968.9195,1011.769
202102,1966.2727,962.3677,1003.905
202103,2017.0383,982.9753,1034.063
202104,2004.4483,975.9953,1028.453
202105,1973.2848,956.8128,1016.472
202106,1997.22,970.725,1026.495
202107,1964.9408,956.1618,1008.779
202108,1944.2497,947.497,996.7527
202109,1933.6152,941.8652,991.75
202110,1966.5211,955.8631,1010.658
202111,1996.479,969.576,1026.903
202112,1992.293,968.092,1024.201
202201,1966.271,958.892,1007.379
202202,1971.3694,960.9734,1010.396
202203,1997.1699,969.4129,1027.757
202204,2003.3402,971.7352,1031.605
202205,2024.9707,982.7917,1042.179
202206,2040.0238,989.1638,1050.86
202207,1993.2357,967.3057,1025.93
202208,1967.8189,955.4709,1012.348
202209,1956.9287,952.9517,1003.977
202210,1986.3207,960.1777,1026.143
202211,2006.1002,967.7762,1038.324
202212,2007.4903,969.8323,1037.658
