yearmonth,total,man1-19,man20-29,man30-39,man40-49,man50-59,man60,woman1-19,woman20-29,woman30-39,woman40-49,woman50-59,woman60
202001,25305.39,638.8187,301.6262,1045.344,1050.7,873.1484,786.3783,625.4804,1054.236,1058.814,1005.52,946.4846,1093.869
202002,25614.3,652.6329,919.2633,1063.953,1069.005,881.1299,751.6424,632.9497,1080.236,1083.719,1022.103,954.2742,1088.419
202003,25246.9,646.7052,899.7608,1050.353,1058.909,869.3774,766.9936,624.9739,1058.756,1066.927,1012.031,942.4902,1071.227
202004,25153.68,647.4008,900.3541,1045.433,1054.188,863.3308,757.597,627.9435,1061.94,1065.101,1009.089,935.7232,1061.511
202005,24938.98,643.1904,899.8761,1031.998,1040.488,855.2568,750.7252,642.2684,1055.151,1053.313,999.299,927.2123,1053.079
202006,24999.82,645.8535,897.1047,1036.076,1045.941,854.1143,745.4547,626.8394,1067.828,1065.588,1005.467,927.0504,1049.011
202007,24959.41,641.4601,892.0682,1035.092,1047.077,858.83,746.7309,622.3008,1061.475,1062.119,1005.948,928.8536,1048.338
202008,24521.96,625.4531,874.5922,1018.059,1026.873,849.895,739.768,607.435,1034.35,1040.986,986.8162,917.7957,1035.084
202009,24634.82,634.527,866.8633,1020.365,1039.408,854.1571,737.274,614.7033,1030.446,1050.975,1000.376,924.1524,1033.94
202010,24484.06,634.4188,868.4188,1014.293,1031.262,848.719,731.5883,614.5451,1025.233,1041.27,990.8707,914.7664,1024.064
202011,24645.01,635.5874,870.4138,1027.687,1043.455,855.7694,735.4694,611.4851,1028.462,1056.061,1000.21,921.2111,1030.283
202012,24435.53,629.8863,843.1653,1015.692,1038.701,857.4415,738.9425,603.6259,994.0254,1043.234,997.9554,921.8972,1031.315
202101,24461.67,628.4343,843.5395,1020.245,1042.974,862.4986,741.4955,600.9808,988.7558,1047.051,999.5006,922.809,1031.398
202102,24326.83,628.3144,840.4032,1011.959,1034.741,858.6583,737.4316,600.1034,980.9443,1037.363,993.4072,917.8545,1026.206
202103,24724.32,644.8729,866.0799,1032.089,1050.757,861.7463,729.9412,619.439,1027.548,1065.505,1009.136,922.302,1023.744
202104,24528.7,641.3739,860.951,1023.812,1043.223,854.6014,719.9642,606.4173,1024.665,1058.228,1002.465,912.8021,1011.312
202105,24330.4,636.1858,855.3653,1012.191,1029.882,850.7138,718.333,610.7762,1013.157,1044.139,992.1204,908.7651,1007.284
202106,24469.2,641.5217,854.4731,1017.871,1039.831,854.3724,719.0591,613.2826,1022.197,1055.702,1001.587,913.2622,1009.671
202107,24137.01,627.844,838.8464,1004.107,1025.532,849.691,714.7157,599.269,997.9501,1038.227,990.1591,908.052,1002.127
202108,23932.96,626.0701,832.9161,993.647,1015.928,845.9922,711.793,594.7048,984.3076,1025.162,980.7885,901.132,994.8364
202109,23901.44,630.4973,825.3214,984.1133,1016.161,844.7207,710.5105,601.1003,973.6886,1018.839,982.7224,900.6418,994.2316
202110,24110.21,635.802,845.4162,1000.037,1022.136,546.0988,706.3727,606.7104,1005.938,1037.1,988.9352,901.6338,989.655
202111,24389.44,638.9084,851.832,1015.697,1041.199,857.1184,713.3028,609.2905,1024.425,1055.06,1001.224,909.6269,997.5236
202112,24410.7,637.4749,848.7441,1014.467,1041.065,862.5847,719.631,607.0704,1019.579,1052.019,1001.004,913.3235,1004.199
202201,24173.5,627.2049,838.2659,1005.626,1032.784,860.7877,719.7618,598.8809,993.7859,1037.2,991.1518,907.6191,1000.506
202202,24222.43,634.8585,841.6221,1007.578,1033.72,860.6168,717.6943,602.5882,995.5305,1041.664,993.9934,907.7819,997.3326
202203,24434.69,650.1598,855.4496,1013.887,1038.902,857.8163,709.2062,621.8938,1027.209,1053.821,1002.24,906.8992,992.8223
202204,24410.77,651.0257,861.6546,1015.761,1037.79,853.2097,700.2226,625.0069,1039.475,1054.343,1000.996,900.7851,984.6581
202205,24749.39,660.9256,876.4561,1025.04,1046.879,863.893,712.6671,636.4188,1055.393,1061.991,1009.153,914.0181,1004.568
202206,24997.84,668.734,882.3874,1028.847,1056.257,872.6258,722.5507,641.5915,1062.279,1069.173,1021.128,924.7381,1021.447
202207,24296.86,641.9037,862.844,1008.545,1030.528,852.6746,700.0876,613.5042,1034.025,1047.652,996.3024,902.2379,986.9158
202208,23988.88,631.9484,850.6225,996.4243,1019.366,846.0542,691.8542,603.8517,1017.312,1035.801,983.9323,891.6858,974.5083
202209,24073.73,640.6261,845.495,990.736,1022.624,849.0658,694.8757,614.0764,1024.422,1032.484,955.0264,893.0852,977.7098
202210,24185.83,646.1261,859.3259,997.9833,1023.224,847.8219,690.5858,620.5891,1044.516,1041.843,992.0708,892.4749,971.8021
202211,24357.6,644.5058,856.1667,1008.414,1038.748,856.8848,695.9747,617.3107,1054.928,1056.975,1003.068,899.1421,978.5233
202212,24465.83,643.6935,858.3999,1007.927,1043.17,867.9908,707.807,616.493,1052.533,1055.281,1005.16,906.5723,989.259
